code,standard,shortName,definition,link,units,preferredDef,
C0S/m,,,,,,,
CF: Equivalent,Climate and Forecast,Equivalent,N/A,N/A,N/A,,
FISP,,,,,,,
FISPuv0,,,,,,,
http://ca.amundsen/CDOMZZ01/,Amundsen,CDOMZZ01,,,,,
http://ca.amundsen/CNDCZZ01/,Amundsen,CNDCZZ01,,,,,
http://ca.amundsen/DEPSM/,Amundsen,DEPSM,,,,,
http://ca.amundsen/DOXYSC01/,Amundsen,DOXYSC01,,,,,
http://ca.amundsen/DOXYZZXX/,Amundsen,DOXYZZXX,,,,,
http://ca.amundsen/FLUOCDOM/,Amundsen,FLUOCDOM,,,,,
http://ca.amundsen/FLUOZZZZ/,Amundsen,FLUOZZZZ,,,,,
http://ca.amundsen/Latitude,Amundsen,Latitude,,,,,
http://ca.amundsen/longitude,Amundsen,longitude,,,,,
http://ca.amundsen/LVLTBU01/,Amundsen,LVLTBU01,,,,,
http://ca.amundsen/NTRAZZXX/,Amundsen,NTRAZZXX,,,,,
http://ca.amundsen/oxTC/,Amundsen,oxTC,,,,,
http://ca.amundsen/OXYOCPVL/,Amundsen,OXYOCPVL,,,,,
http://ca.amundsen/OXYSSC01/,Amundsen,OXYSSC01,,,,,
http://ca.amundsen/PE001223,Amundsen,PE001223,,,,,
http://ca.amundsen/POTMS601/,Amundsen,POTMS601,,,,,
http://ca.amundsen/Pr,Amundsen,Pr,,,,,
http://ca.amundsen/PSALST01/,Amundsen,PSALST01,,,,,
http://ca.amundsen/SIGTPR01/,Amundsen,SIGTPR01,,,,,
http://ca.amundsen/SVELCT01/,Amundsen,SVELCT01,,,,,
http://ca.amundsen/TEMPS901/,Amundsen,TEMPS901,,,,,
http://ca.amundsen/TEMPSD01/,Amundsen,TEMPSD01,,,,,
http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01,Natural Environment Reseach Council,ALATZZ01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01,,Latitude north,
http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,Natural Environment Reseach Council,ALONZZ01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,,Longitude east,
http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/,Natural Environment Reseach Council,CDOMZZ01,The quantity of coloured organic compounds in solution in unit volume of any body of water.,http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/,,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,
http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,Natural Environment Reseach Council,CNDCZZ01,This is the preferred term for this definition. Alternative codes (PCONCS01 and PCONZZ01) are undesired duplicates from BODC history and should not be used.,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,,Electrical conductivity of the water body,
http://vocab.nerc.ac.uk/collection/P01/current/DOXYSC01/,Natural Environment Reseach Council,DOXYSC01,Sea-Bird SBE 43 oxygen sensor calibrated against sample data collected in the field (usually Winkler titrations on sample data),http://vocab.nerc.ac.uk/collection/P01/current/DOXYSC01/,,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and calibration against sample data,
http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,Natural Environment Reseach Council,DOXYZZXX,Concentration of dissolved oxygen per unit volume of the water column. Oxygen may be expressed in terms of mass," volume or quantity of substance.",http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase]
http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM/,Natural Environment Reseach Council,FLUOCDOM,This code is under review due to its ambiguity. It is likely to be deprecated at the end of the review period. Please use terms stating 'Concentration of%' for calibrated CDOM fluorometer output or 'Raw signal% of%' for the raw fluorescence signal [updated 30/07/2019]. Definition was: The amount of violet to low ultra-violet radiation generated in the water column in response to high ultra-violet radiation transmission expressed relative to an unspecified baseline using fluorometer designed to detect CDOM," crude oil or UV-fluorescent dyes.",http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM/,,Fluorescence of the water body by linear-response CDOM fluorometer
http://vocab.nerc.ac.uk/collection/P01/current/FLUOZZZZ/,Natural Environment Reseach Council,FLUOZZZZ,The amount of radiation generated in the water column in response to higher energy radiation transmission expressed relative to an unspecified baseline.,http://vocab.nerc.ac.uk/collection/P01/current/FLUOZZZZ/,,Fluorescence of the water body,
http://vocab.nerc.ac.uk/collection/P01/current/LVLTBU01/,Natural Environment Reseach Council,LVLTBU01,Biospherical Instruments 2-pi PAR lightmeter,http://vocab.nerc.ac.uk/collection/P01/current/LVLTBU01/,,Raw signal (voltage) of instrument output by Biospherical Instruments 2-pi PAR upwelling light meter,
http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/,Natural Environment Reseach Council,NTRAZZXX,Concentration of nitrate per unit volume of the water column. Nitrate may be expressed in terms of mass or quantity of substance.,http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/,,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],
http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPVL/,Natural Environment Reseach Council,OXYOCPVL,The raw output from a dissolved oxygen sensor such as an SBE43 with output as a voltage related to DO concentration.,http://vocab.nerc.ac.uk/collection/P01/current/OXYOCPVL/,,Raw signal (voltage) of instrument output by oxygen sensor,
http://vocab.nerc.ac.uk/collection/P01/current/OXYSSC01/,Natural Environment Reseach Council,OXYSSC01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/OXYSSC01/,,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and calibration against sample data and computation from concentration using Benson and Krause algorithm,
http://vocab.nerc.ac.uk/collection/P01/current/PE001223,Natural Environment Reseach Council,PE001223,N/A,http://vocab.nerc.ac.uk/collection/P01/current/PE001223,,N/A,
http://vocab.nerc.ac.uk/collection/P01/current/POTMS601/,Natural Environment Reseach Council,POTMS601,This code is under review due to its ambiguity. It is likely to be deprecated at the end of the review period. Please use terms stating 'Concentration of%' for calibrated CDOM fluorometer output or 'Raw signal% of%' for the raw fluorescence signal [updated 30/07/2019]. Definition was: The amount of violet to low ultra-violet radiation generated in the water column in response to high ultra-violet radiation transmission expressed relative to an unspecified baseline using fluorometer designed to detect CDOM," crude oil or UV-fluorescent dyes.",http://vocab.nerc.ac.uk/collection/P01/current/POTMS601/,,Fluorescence of the water body by linear-response CDOM fluorometer
http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01,Natural Environment Reseach Council,PRESPR01,The force per unit area exerted by the water column on a mobile sensor located in the water column.,http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01,,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,
http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/,Natural Environment Reseach Council,PSALST01,This is the preferred term for this definition. Alternative term PSALST02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/,,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,
http://vocab.nerc.ac.uk/collection/P01/current/SIGTPR01//,Natural Environment Reseach Council,SIGTPR01,This is the preferred term for this definition. Alternative term SIGTPR02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code,http://vocab.nerc.ac.uk/collection/P01/current/SIGTPR01//,,Sigma-theta of the water body by CTD and computation from salinity and potential temperature using UNESCO algorithm,
http://vocab.nerc.ac.uk/collection/P01/current/SVELCT01/,Natural Environment Reseach Council,SVELCT01,Computed value from CTD temperature and salinity data,http://vocab.nerc.ac.uk/collection/P01/current/SVELCT01/,,Sound velocity in the water body by CTD and computation from temperature and salinity by unspecified algorithm,
http://vocab.nerc.ac.uk/collection/P01/current/TEMPS901/,Natural Environment Reseach Council,TEMPS901,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/TEMPS901/,,Temperature (ITS-90) of the water body by CTD or STD,
http://vocab.nerc.ac.uk/collection/P01/current/TEMPSD01/,Natural Environment Reseach Council,TEMPSD01,The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,http://vocab.nerc.ac.uk/collection/P01/current/TEMPSD01/,,Temperature (ITS-90) standard deviation of the water body,
http://vocab.nerc.ac.uk/collection/P07/current/CFSN0199/,Natural Environment Reseach Council,CFSN0199,Temperature_of_sensor_for_oxygen_in_sea_water is the instrument temperature used in calculating the concentration of oxygen in sea water; it is not a measurement of the ambient water temperature.,http://vocab.nerc.ac.uk/collection/P07/current/CFSN0199/,,temperature_of_sensor_for_oxygen_in_sea_water,
http://vocab.nerc.ac.uk/collection/S0600167,Natural Environment Reseach Council,S0600167,,http://vocab.nerc.ac.uk/collection/S0600167,,,
Latitude,,,,,,,
Nitrate,,,,,,,
OxMg/L,,,,,,,
OxML/L,,,,,,,
Oxy_output_V,,,,,,,
PAR,,,,,,,
Potemp068,,,,,,,
Sal00,,,,,,,
Sbeox1PS,,,,,,,
SDN:P01::ALATZZ01,Sea Data Network,ALATZZ01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/ALATZZ01,degrees,Latitude north,
SDN:P01::ALONZZ01,Sea Data Network,ALONZZ01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/ALONZZ01/,degrees,Longitude east,
SDN:P01::CDOMZZ01,Sea Data Network,CDOMZZ01,The quantity of coloured organic compounds in solution in unit volume of any body of water.,http://vocab.nerc.ac.uk/collection/P01/current/CDOMZZ01/,,Concentration of coloured dissolved organic matter {CDOM Gelbstoff} per unit volume of the water body [dissolved plus reactive particulate phase] by fluorometry,
SDN:P01::CNDCZZ01,Sea Data Network,CNDCZZ01,This is the preferred term for this definition. Alternative codes (PCONCS01 and PCONZZ01) are undesired duplicates from BODC history and should not be used.,http://vocab.nerc.ac.uk/collection/P01/current/CNDCZZ01/,Siemens per metre,Electrical conductivity of the water body,
SDN:P01::DOXYSC01,Sea Data Network,DOXYSC01,Sea-Bird SBE 43 oxygen sensor calibrated against sample data collected in the field (usually Winkler titrations on sample data),http://vocab.nerc.ac.uk/collection/P01/current/DOXYSC01/,Micromoles per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and calibration against sample data,
SDN:P01::DOXYZZXX,Sea Data Network,DOXYZZXX,Concentration of dissolved oxygen per unit volume of the water column. Oxygen may be expressed in terms of mass," volume or quantity of substance.",http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX/,Micromoles per litre,Concentration of oxygen {O2 CAS 7782-44-7} per unit volume of the water body [dissolved plus reactive particulate phase]
SDN:P01::FLUOCDOM,Sea Data Network,FLUOCDOM,This code is under review due to its ambiguity. It is likely to be deprecated at the end of the review period. Please use terms stating 'Concentration of%' for calibrated CDOM fluorometer output or 'Raw signal% of%' for the raw fluorescence signal [updated 30/07/2019]. Definition was: The amount of violet to low ultra-violet radiation generated in the water column in response to high ultra-violet radiation transmission expressed relative to an unspecified baseline using fluorometer designed to detect CDOM," crude oil or UV-fluorescent dyes.",http://vocab.nerc.ac.uk/collection/P01/current/FLUOCDOM/,,Fluorescence of the water body by linear-response CDOM fluorometer
SDN:P01::FLUOZZZZ,Sea Data Network,FLUOZZZZ,The amount of radiation generated in the water column in response to higher energy radiation transmission expressed relative to an unspecified baseline.,http://vocab.nerc.ac.uk/collection/P01/current/FLUOZZZZ/,percentage,Fluorescence of the water body,
SDN:P01::LVLTBU01,Sea Data Network,LVLTBU01,Biospherical Instruments 2-pi PAR lightmeter,http://vocab.nerc.ac.uk/collection/P01/current/LVLTBU01/,volts,Raw signal (voltage) of instrument output by Biospherical Instruments 2-pi PAR upwelling light meter,
SDN:P01::NTRAZZXX,Sea Data Network,NTRAZZXX,Concentration of nitrate per unit volume of the water column. Nitrate may be expressed in terms of mass or quantity of substance.,http://vocab.nerc.ac.uk/collection/P01/current/NTRAZZXX/,Micromoles per litre,Concentration of nitrate {NO3- CAS 14797-55-8} per unit volume of the water body [unknown phase],
SDN:P01::OXYSSC01,Sea Data Network,OXYSSC01,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/OXYSSC01/,percentage,Saturation of oxygen {O2 CAS 7782-44-7} in the water body [dissolved plus reactive particulate phase] by Sea-Bird SBE 43 sensor and calibration against sample data and computation from concentration using Benson and Krause algorithm,
SDN:P01::OXYTAAOP,Sea Data Network,OXYTAAOP,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/OXYTAAOP/,Degrees Celsius,Temperature of oxygen determination by optode,
SDN:P01::PE001223,Sea Data Network,PE001223,,,,,
SDN:P01::POTMS601,Sea Data Network,POTMS601,Computed from CTD temperature data calibrated against IPTS-68 scale,http://vocab.nerc.ac.uk/collection/P01/current/POTMS601/,Degree Celcius,Potential temperature of the water body by CTD and computation from pressure," salinity and IPTS-68 temperature using UNESCO algorithm"
SDN:P01::PRESPR01,Sea Data Network,PRESPR01,The force per unit area exerted by the water column on a mobile sensor located in the water column.,http://vocab.nerc.ac.uk/collection/P01/current/PRESPR01/,Decibars,Pressure (spatial coordinate) exerted by the water body by profiling pressure sensor and correction to read zero at sea level,
SDN:P01::PSALST01,Sea Data Network,PSALST01,This is the preferred term for this definition. Alternative term PSALST02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,http://vocab.nerc.ac.uk/collection/P01/current/PSALST01/,,Practical salinity of the water body by CTD and computation using UNESCO 1983 algorithm,
SDN:P01::SIGTPR01/,Sea Data Network,SIGTPR01,This is the preferred term for this definition. Alternative term SIGTPR02 is included to cover cases where there are two sensors of the same type contributing to the data set and referential integrity considerations prevent a usage of a single code.,http://vocab.nerc.ac.uk/collection/P01/current/SIGTPR01/,,Sigma-theta of the water body by CTD and computation from salinity and potential temperature using UNESCO algorithm,
SDN:P01::SVELCT01,Sea Data Network,SVELCT01,Computed value from CTD temperature and salinity data,http://vocab.nerc.ac.uk/collection/P01/current/SVELCT01/,meters per second,Sound velocity in the water body by CTD and computation from temperature and salinity by unspecified algorithm,
SDN:P01::TEMPS901,Sea Data Network,TEMPS901,Unavailable,http://vocab.nerc.ac.uk/collection/P01/current/TEMPS901/,Degree Celcius,Temperature (ITS-90) of the water body by CTD or STD,
SDN:P01::TEMPSD01,Sea Data Network,TEMPSD01,The square root of the average of the squares of deviations about the mean of a set of values of the specified measurement.,http://vocab.nerc.ac.uk/collection/P01/current/TEMPSD01/,Degree Celcius,Temperature (ITS-90) standard deviation of the water body,
SDN:P01::VOLTAGE_DOXY,Sea Data Network,VOLTAGE_DOXY,,,,,
SDN:S06::S0600167,Sea Data Network,S0600167,The vertical location of an object or an observation in a water body or in the sediment expressed as the distance below a specified datum.,http://vocab.nerc.ac.uk/collection/S06/current/S0600167/,Meters,Depth (spatial coordinate),
Sigma-t00,,,,,,,
Svel,,,,,,,
T090C,,,,,,,
Temp_SDEV,,,,,,,
V5,,,,,,,
wetCDOM,,,,,,,